# id	масштаб	форма
# Заполняет заход. форма: ориентир | WARN | гейт (по умолчанию у всех — ориентир)
V0002	репетиция лекции «Введение в теорию категорий» (акт 1), проход дека вслух с комментариями: 27 минут записи на 4 слайда — темп РЕПЕТИЦИИ с разбором, а не темп живой лекции	ориентир
V0008	дек «Семь тождеств» той же лекции: сетка из 7 пунктов на одном слайде, шаг нумерации слева направо	ориентир
V0011	слайд с малым содержанием в деке «Семь тождеств»: одна колонка — раскладка для случая, когда писать нечего, а не общая норма	ориентир
V0016	абзац на слайде в деке «Семь тождеств»: 2–3 фразы — объём ОДНОГО абзаца в «правильной стилистике», не объём слайда	ориентир
V0028	иллюстрация к разбору примера (дек 4, биекция на множестве): контейнер 2 на 4 вместо 4 — пример «коробки похитрее», сказано как «я бы сделал», не как норма	ориентир
V0029	та же иллюстрация дека 4: 2 чёрных, 1 красная, 3 белых — разные мощности классов, чтобы пример не выглядел частным; конкретные числа приведены как «хотя бы так»	ориентир
V0032	иллюстрация дека 4: на рисунке остаются только числа 2 и 1 — предельный объём подписей при законе «подписей на рисунках не делаем»	ориентир
V0039	открытая лекция про треугольник Паскаля (проект `lsh-2026-perechislitelnaya`), живой прогон 27.07: план 90 минут, факт около 50, начало на 10 минут позже — замер ОДНОЙ лекции, а не норма	ориентир
V0040	та же лекция 27.07: 50 минут — оценка СВЕРХУ, потому что лектор ускорился и перестал задавать вопросы в зал; для полного содержания с вопросами число будет больше	ориентир
V0042	лекция про Паскаля, школьная аудитория: $n=4$ — конкретный случай, который считают руками до общей формулы; конкретное число берётся под сюжет, само 4 не норматив	ориентир
V0045	лекция про Паскаля, постановка задачи S2 (пьяница у обрыва): 100 шагов вместо буквы $2n$ — конкретное число в постановке школьной задачи	ориентир
V0052	та же лекция, текст задачи S2: «продержится 100 шагов» — то же число в самом тексте задачи, сквозная правка	ориентир
V0053	канвас S2 (пьяница у обрыва) лекции про Паскаля: два действия, запускаются последовательно — счёт действий внутри одного канваса	ориентир
V0058	слайд S3 «Столбцы» лекции про Паскаля: 5 шагов, затем 10 — конкретные числа в вопросе к залу на этом слайде	ориентир
V0062	картинка на S3 «Столбцы»: довести до 7–8 шага вместо 4–5, чтобы правая полоса стала уже и тексту досталось больше места — пропорции ОДНОЙ картинки	ориентир
V0064	слайд S4 «Треугольник Паскаля»: «точка 3 за 8 шагов» — числа в формулировке вопроса к залу	ориентир
V0070	слайд S5 «Облики» лекции про Паскаля: один слайд разбивается на три, потому что биекция и вывод формулы вместе не влезают	ориентир
V0072	слайд S5A «Три облика»: три облика одного исхода показываются на глазах — счёт представлений одного объекта	ориентир
V0081	слайд S6 «Разрез по центру» лекции про Паскаля: по 10 монет на игрока — условие потерянной задачи (вопрос 7 из бота), число из самой задачи	ориентир
V0093	слайд 8B «Разрез» лекции про Паскаля: проверка биекции на $F_4$ — три слова плюс пять дают восемь; числа конкретной проверки	ориентир
V0096	слайд S9 «Домики» лекции про Паскаля: два слайда сжаты в один, и из-за этого пропала конкретика — замер потери, а не норма	ориентир
V0101	слайд S10 «Пьяница возвращается»: начинать перечисление с $2n=0$, потом 2, 4, 6 — начало таблички, а не её длина	ориентир
V0102	слайд S10 «Пьяница возвращается»: пути выписываются для 2, 6 и 20, для 70 не выписываются — граница «сколько выписываем руками» для этого сюжета	ориентир
V0116	лекция про Паскаля, сквозное правило «числа вместо букв»: ровно ОДНО разрешённое место для буквы $n$ на всю лекцию — универсальная формула биномиального коэффициента. Слова владельца: «$n$ запрещено везде, кроме одного места»	WARN
V0117	лекция про Паскаля, постановка: начинаем со 100 шагов — именно это потом обосновывает работу с чётными	ориентир
V0118	сюжет Фибоначчи в лекции про Паскаля: 10 бросков монетки вместо 100 — «число поменьше, чем 100» для второго сюжета той же лекции	ориентир
V0119	лекция про Паскаля: общий случай ($2n$ вместо 100) допускается ровно на одном слайде — последнем	ориентир
V0120	лекция про Паскаля целиком (один html, ~90 минут): до 20–22 слайдов, при этом сказано «допустимо любое разумное количество, лишь бы было понятно» — потолок мягкий по прямой оговорке владельца	ориентир
V0125	канвас Фибоначчи (материал из проекта `fibonacci/`): 8 слов слева, 5 и 3 отдельными группами справа — состав ОДНОГО канваса под конкретный шаг $F_4$	ориентир
V0127	канвас суммы квадратов (S7) лекции про Паскаля: треугольник до 10-й строки, дальше упирается в шрифт — предел читаемости этого канваса, а не размер треугольника вообще	ориентир
V0134	слайд «телескоп» лекции про Паскаля: шесть первых слагаемых вместо трёх, чтобы проступил механизм сокращения — счёт слагаемых в одной выкладке	ориентир
V0135	тот же слайд «телескоп»: последних скобок должно быть ДВЕ, чтобы было видно отличие последней	ориентир
V0140	финальный слайд лекции про Паскаля: две строки (для чётной длины так, для нечётной так) вместо одной общей записи, которую просили школьникам не показывать	ориентир
V0143	вторая половина лекции про Паскаля: все выкладки на 10 шагах, 100 остаётся в постановке и в финале — два разных рабочих числа в одной лекции, у каждого своё место	ориентир
V0144	задача про дежурных в лекции про Паскаля: две картинки вместо одной, потому что дают два разных способа заполнять треугольник	ориентир
V0145	первый слайд лекции про Паскаля: один растущий рисунок в две фазы вместо двух рисунков рядом	ориентир
V0146	лекция про Паскаля, сквозное требование к сборке: все 12 вопросов из `VOPROSY-bot.md` проверяются поимённо ПЕРЕД сборкой; 12 — размер конкретного файла вопросов этой лекции	ориентир
V0177	конспект Л1 теорката, дек по слайдам: слайд Эйленберга–Маклейна оказался 19-м, а должен был встать после 16-го — замер расхождения в одном деке	ориентир
V0187	слайд 20 конспекта Л1 («Есть ли естественный изоморфизм?»): из трёх картинок в полосе остаётся одна, самая нижняя, по центру	ориентир
V0194	слайды 26–29 конспекта Л1: одна сцена вместо двух (определение сверху, доказательство снизу) на этом слайде	ориентир
V0202	конспект Л1, приёмка захода: три пункта из восьми не сделаны — и не по времени, а потому что цель адресовалась номером слайда; это замер работы фабрики, а не свойство лекции	ориентир
V0211	лекция про Паскаля, вопросы через бота: полминуты на размышление над вопросом, отвечает слушатель во время лекции	ориентир
V0212	лекция про Паскаля, карта «вопрос → слайд»: дробление слайдов под каждый вопрос даёт вдвое больше слайдов — цена дробления, названная как аргумент против	ориентир
V0213	лекция про Паскаля: S3 несёт три вопроса подряд (самый нагруженный слайд), S5 и S7 — по два; замер нагрузки конкретных слайдов	ориентир
V0214	слайд лекции про Паскаля с шестью сценами: шесть — порог «много», но допущено, потому что текста мало и лектор трижды обращается к залу; не влезет — резать на два слайда	ориентир
V0220	лекция про Паскаля, раздел «Анимации — где они несут смысл»: три статичных кадра вместо движения — замер того, что сделано, а не норма	ориентир
V0224	лекция «Введение в теорию категорий», ТЗ на дек целиком: 32 слайда всего, в среднем 8 на раздел (четыре раздела); слайд = один экран = одна мысль	ориентир
V0226	слайд-экран той же лекции: минута на экран текста — оценка бессмысленной траты, а не норматив длительности слайда	ориентир
V0227	лекция «Введение в теорию категорий», раздел из 7–8 слайдов: 7–8 слайдов обязаны быть РЕАЛЬНО 7–8 экранами, подмена сценами запрещена. Слова владельца: «это должно быть реально 7–8 экранов», «тебе такое запрещено делать»	WARN
V0229	та же лекция: 5 полноэкранных сцен дадут не 5 минут, а 10 — арифметика срыва тайминга при скрытых экранах	ориентир
V0230	лекция «Введение в теорию категорий» целиком: 2 часа, 32 слайда, 4 минуты на слайд, допустимо 3–3,5. Слова владельца: «у нас довольно жёсткий тайминг» — граница названа им самим жёсткой	WARN
V0231	та же лекция: 3,5 минуты на слайд — и из этого следует, что слайд обязан быть ОДНИМ экраном	ориентир
V0232	законный случай сцен в той же лекции: три сцены на одном слайде, потому что у них одинаковый заголовок	ориентир
V0233	слайд про группы в той же лекции: три экрана на одну мысль, разворачиваемую в нескольких итерациях (раскраски → инъекции → группы → общий случай)	ориентир
V0234	норматив плотности экрана той же лекции: 10 примеров разных категорий на один слайд, если слайд рассказывается за 3,5 минуты — число примеров привязано к длительности, а не к площади	ориентир
V0235	конкретный слайд той же лекции: содержание умещается в один экран, «вообще нет проблем»	ориентир
V0237	ТЗ на лекцию «Введение в теорию категорий»: 32 слайда в идеале, «в которых больше не выйдет»	ориентир
V0238	та же лекция: 32 слайда — МАКСИМУМ, и причина названа лектором про себя: «больше я просто не вывезу». Граница про выносливость лектора на двухчасовой лекции, а не про html	WARN
V0243	слайд с шагами доказательства в той же лекции: пункты 1, 2, 3 с короткой строчкой каждый всегда помещаются на один слайд	ориентир
V0249	слайд 18 (функторы, кобордизмы) той же лекции, первая сцена: принятый владельцем образец размера одного слайда	ориентир
V0252	раздел «Комбинаторная теория типов» той же лекции: 8 блоков — «очень небольшое число актов» для одного раздела	ориентир
V0253	тот же раздел: 8 блоков рассказываются за полчаса — оценка лектора о себе («я уверен»), не измеренный факт	ориентир
V0254	раздел той же лекции: полчаса на раздел при правильной расстановке блоков сюжетных линий и отсутствии лишнего	ориентир
V0256	текст конспекта той же лекции: режется примерно в два раза — оценка объёма лишнего в НЫНЕШНЕМ тексте, а не норма сокращения	ориентир
V0257	тот же текст: слайдов остаётся примерно столько же, а по содержанию каждый худеет примерно в два раза	ориентир
V0258	второй раздел той же лекции («Зоопарк»): восемь тем-слайдов	ориентир
V0259	слайд-список примеров в том же разделе: помещается на одну страницу коротким перечислением, диаграмма не нужна	ориентир
V0260	слайд-список экзотических примеров того же раздела: два слайда, если список делится по группам	ориентир
V0261	план второго раздела той же лекции: 7 слайдов (можно 8), на каждый — текст ровно на одну страницу	ориентир
V0262	слайд про функторы того же раздела: один слайд на весь список функторов	ориентир
V0263	слайд про изоморфизм категорий: три шага в порядке изложения — пример, изоморфизм, определение	ориентир
V0264	та же лекция, разрез «систематическое»: 7–8 слайдов = реально 7–8 экранов; подмена текста сценами — «чит», и владелец говорит «тебе такое запрещено делать»	WARN
V0265	свод по той же лекции: 8 попаданий по стилистике на 5 слайдах — кратность одной и той же жалобы, а не норматив	ориентир
V0266	слайд той же лекции с лишним текстом: одна колонка вместо нескольких, шрифт крупнее	ориентир
V0285	иллюстрация той же лекции (разрез «систематическое»): четыре элемента дают слишком большую симметрию, добавить пятый (E)	ориентир
V0309	слайд 4 той же лекции: две картинки на поля — сверху общая, снизу частная	ориентир
V0318	слайд 4 той же лекции: те же четыре элемента и та же правка «добавь элемент E» — повтор замечания по одной картинке	ориентир
V0329	слайд 7 той же лекции: список из десяти пунктов вместо пяти — «список можно делать побольше» для этого слайда	ориентир
V0332	слайд 8 той же лекции: мораль помещается на один слайд и должна быть супер понятной	ориентир
V0342	слайд 13 той же лекции, определение категории: 4 пункта = 4 строки; объём тот же, что был, но читается	ориентир
V0352	слайд 14 дека «Введение в теорию категорий» (репетиция 29.07): блок конструкций помещается на 1 слайд, и владелец отдельно оговаривает «не то что на одну сцену». Границу назвал жёсткой он сам: «Это жёсткое условие»	WARN
V0359	слайд 15 того же дека, список примеров категорий: пункт перечня вмещается в 1 строку, у автора занял 2 — мера ОДНОГО пункта, не объём слайда	ориентир
V0364	слайд 15 того же дека: перечисление превратить в список примерно из 5 пунктов, при нехватке места — максимум 2 слайда	ориентир
